aset_id,opd_id,kategori_kib,kondisi,status,luas_m2,umur_aset,address,lat,lon,poi_kampus_n,poi_kampus_d,poi_sekolah_n,poi_sekolah_d,poi_mal_n,poi_mal_d,poi_pasar_n,poi_pasar_d,poi_rumah_sakit_n,poi_rumah_sakit_d,poi_puskesmas_n,poi_puskesmas_d,poi_stasiun_n,poi_stasiun_d,poi_kantor_n,poi_kantor_d,poi_tempat_budaya_n,poi_tempat_budaya_d,poi_total,y_jenis,y_kontribusi,y_permintaan
aset-0278,2,2,0,1,385,6,"Jl. Teuku Cik Ditiro No. 30, Kel. Sei Sikambing Kec. Medan Helvetia, Kota Medan",3.613461,98.630455,0,5.0,0,5.0,0,4.7104,0,5.0,0,4.7005,0,4.3486,0,5.0,0,5.0,0,3.8494,0,1,100000,0
aset-0279,5,2,0,0,263,25,"Jl. Imam Bonjol No. 34, Kel. Kesawan Kec. Medan Petisah, Kota Medan",3.57022,98.675989,2,2.1985,6,2.1246,5,0.9562,3,2.1822,5,1.702,1,1.9969,1,2.2023,1,2.6465,6,1.0321,30,2,53900000,2
aset-0280,6,2,0,2,932,16,"Jl. Gatot Subroto No. 36, Kel. Petisah Tengah Kec. Medan Timur, Kota Medan",3.54898,98.695516,0,4.5708,0,3.6721,0,3.6525,0,3.5918,0,3.7932,0,3.4755,0,5.0,0,5.0,0,3.1777,0,1,500000,1
aset-0281,4,0,0,0,1250,26,"Jl. Gatot Subroto No. 16, Kel. Merdeka Kec. Medan Sunggal, Kota Medan",3.597911,98.691585,3,0.446,7,0.883,6,0.3821,2,1.7762,7,1.1938,1,2.968,1,1.8422,1,1.8912,6,1.6135,34,2,317700000,2
aset-0282,4,0,1,0,2862,13,"Jl. HM Yamin No. 5, Kel. Polonia Kec. Medan Marelan, Kota Medan",3.581651,98.645553,1,2.4205,0,3.1948,1,2.9765,0,3.0932,2,2.3077,1,2.6194,0,3.6113,0,3.5447,2,1.3293,7,2,8900000,1
aset-0283,3,2,1,1,2133,10,"Jl. Sudirman No. 6, Kel. Polonia Kec. Medan Petisah, Kota Medan",3.516847,98.631264,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,900000,0
aset-0284,4,2,2,1,4706,26,"Jl. Putri Hijau No. 30, Kel. Aur Kec. Medan Timur, Kota Medan",3.558267,98.663862,1,0.9441,0,3.8097,1,1.0742,1,0.3748,0,3.1067,1,0.2819,0,3.8179,0,4.1612,1,2.9067,5,4,1900000,1
aset-0285,6,0,0,0,2965,25,"Perumahan Balai Kota No. 2, Kel. Sei Sikambing Kec. Medan Sunggal, Kota Medan",3.611937,98.693364,4,1.7253,4,0.9743,3,1.9448,0,3.2547,5,0.5265,0,3.668,0,3.041,1,2.8515,1,2.7655,18,2,33400000,1
aset-0286,6,0,2,1,1759,20,"Jl. Putri Hijau No. 16, Kel. Merdeka Kec. Medan Labuhan, Kota Medan",3.577449,98.668019,2,1.7661,5,1.6465,6,0.9905,3,1.7605,5,0.9487,2,1.9801,1,1.7149,1,1.9967,7,1.4699,32,2,118400000,2
aset-0287,4,0,0,1,3900,23,"Gang Pemuda No. 20, Kel. Pasar Merah Kec. Medan Selayang, Kota Medan",3.563507,98.696268,0,3.5733,1,2.0612,1,2.6303,1,2.0881,2,2.1977,0,3.5691,0,3.6402,0,4.1313,2,1.883,7,2,6000000,1
aset-0288,3,0,1,0,1856,26,"Jl. Pemuda No. 5, Kel. Bantan Kec. Medan Johor, Kota Medan",3.541556,98.688776,0,4.2754,0,4.55,0,3.6498,0,3.1538,0,4.6322,0,3.089,0,5.0,0,5.0,0,3.769,0,0,4900000,0
aset-0289,4,0,1,1,774,14,"Lingkungan Setiabudi No. 20, Kel. Padang Bulan Kec. Medan Polonia, Kota Medan",3.585975,98.715155,0,3.1667,1,2.28,1,2.739,1,2.4981,1,2.4809,0,5.0,0,4.2579,0,4.5448,0,3.5965,4,2,6900000,1
aset-0290,6,2,1,1,2147,18,"Perumahan Yos Sudarso No. 6, Kel. Petisah Tengah Kec. Medan Barat, Kota Medan",3.577951,98.644561,1,2.1468,0,3.4746,1,2.8721,0,3.3289,1,2.5796,1,2.9561,0,3.8412,0,3.8204,1,1.6886,5,1,2200000,1
aset-0291,4,0,0,0,1781,25,"Blok Diponegoro No. 1, Kel. Merdeka Kec. Medan Sunggal, Kota Medan",3.561363,98.627843,0,3.2188,0,5.0,0,4.5005,0,4.0438,0,5.0,0,4.1666,0,5.0,0,5.0,0,4.3043,0,2,1900000,0
aset-0292,2,2,0,0,1090,7,"Jl. Teuku Daud No. 6, Kel. Pasar Merah Kec. Medan Marelan, Kota Medan",3.621908,98.658077,2,2.7804,0,3.5665,2,1.5046,0,3.5198,1,2.8678,0,3.0891,0,4.1229,0,3.6272,0,3.2928,5,1,700000,1
aset-0293,6,2,1,2,448,17,"Jl. Yos Sudarso No. 4, Kel. Aur Kec. Medan Johor, Kota Medan",3.540119,98.623861,0,4.4538,0,5.0,0,5.0,0,4.717,0,5.0,0,4.8952,0,5.0,0,5.0,0,5.0,0,4,200000,0
aset-0294,2,0,1,1,1660,28,"Jl. Putri Hijau No. 5, Kel. Pandan Selamat Kec. Medan Labuhan, Kota Medan",3.542892,98.609116,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,400000,0
aset-0295,2,0,2,0,1205,9,"Jl. Iskandar Muda No. 18, Kel. Sunggal Kec. Medan Denai, Kota Medan",3.552241,98.632177,1,2.9831,0,5.0,0,4.3011,0,3.511,0,5.0,0,3.6667,0,5.0,0,5.0,0,4.8086,1,3,2600000,0
aset-0296,2,2,0,0,258,15,"Jl. Putri Hijau No. 28, Kel. Sei Sikambing Kec. Medan Area, Kota Medan",3.580163,98.688746,2,1.619,7,0.7234,7,0.8744,2,0.5143,5,0.5677,0,3.1091,1,1.7017,1,2.1667,6,0.6555,31,2,40000000,2
aset-0297,3,0,2,1,1728,10,"Jl. Iskandar Muda No. 18, Kel. Titi Kuning Kec. Medan Selayang, Kota Medan",3.512196,98.686504,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,800000,0
aset-0298,3,2,1,0,1034,17,"Jl. Jamin Ginting No. 6, Kel. Jati Kec. Medan Area, Kota Medan",3.607953,98.615472,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,4.8667,0,4,200000,0
aset-0299,3,0,1,1,524,21,"Gang Iskandar Muda No. 45, Kel. Suka Maju Kec. Medan Polonia, Kota Medan",3.565894,98.690701,0,3.0238,3,1.8534,5,2.0516,1,1.809,3,1.9192,0,3.0571,0,3.0817,0,3.5782,4,1.2718,16,5,10500000,1
aset-0300,4,0,2,0,1116,22,"Jl. HM Yamin No. 5, Kel. Petisah Tengah Kec. Medan Deli, Kota Medan",3.592202,98.623348,0,4.9322,0,5.0,0,5.0,0,5.0,0,4.6361,0,4.6329,0,5.0,0,5.0,0,3.5307,0,3,5000000,1
aset-0301,5,2,0,1,1758,7,"Jl. Sudirman No. 7, Kel. Suka Maju Kec. Medan Perjuangan, Kota Medan",3.537529,98.61618,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,1200000,0
aset-0302,3,0,1,1,1187,9,"Jl. Yos Sudarso No. 5, Kel. Pasar Merah Kec. Medan Timur, Kota Medan",3.594733,98.646924,0,3.4793,1,2.7895,1,2.8508,1,2.6788,2,2.1048,1,2.0062,0,3.3789,0,3.1168,2,1.0998,8,2,10400000,1
aset-0303,5,0,2,1,1479,18,"Jl. Sudirman No. 12, Kel. Suka Maju Kec. Medan Marelan, Kota Medan",3.618414,98.64044,0,4.4963,0,4.5002,0,3.4946,0,4.4144,0,4.2574,0,3.7692,0,5.0,0,4.6988,0,3.648,0,3,2200000,0
aset-0304,4,2,1,0,3002,9,"Blok Imam Bonjol No. 10, Kel. Jati Kec. Medan Area, Kota Medan",3.583452,98.681108,3,0.8005,7,0.5475,7,0.2063,2,1.3296,7,0.665,1,2.201,1,0.859,1,1.3546,7,0.4067,36,2,125600000,2
aset-0305,3,2,0,0,860,20,"Jl. Cut Mutia No. 36, Kel. Sunggal Kec. Medan Marelan, Kota Medan",3.564251,98.69531,0,3.4449,2,1.9739,1,2.4987,1,1.9902,2,2.1005,0,3.4867,0,3.5109,0,4.0028,3,1.7489,9,2,1200000,1
aset-0306,5,2,0,1,594,11,"Jl. Jamin Ginting No. 18, Kel. Sunggal Kec. Medan Marelan, Kota Medan",3.594865,98.666351,3,1.3956,6,0.6603,6,0.8708,1,0.5561,6,0.6692,1,0.1506,1,1.2998,1,0.9647,7,0.2068,32,2,65600000,2
aset-0307,6,0,0,2,2250,24,"Jl. Cut Mutia No. 30, Kel. Jati Kec. Medan Johor, Kota Medan",3.626346,98.672334,2,1.1489,1,2.9422,2,0.153,0,3.7109,2,2.0564,0,3.5793,0,4.0746,0,3.6089,0,3.6288,7,0,6500000,1
aset-0308,1,2,0,1,547,23,"Jl. Marelan Raya No. 45, Kel. Pasar Merah Kec. Medan Barat, Kota Medan",3.58221,98.67678,3,0.8641,7,0.944,7,0.2162,2,1.3605,6,0.6145,1,1.9318,1,0.8666,1,1.3258,7,0.6496,35,2,97400000,2
aset-0309,5,2,0,2,789,15,"Jl. Ahmad Yani No. 4, Kel. Sei Sikambing Kec. Medan Timur, Kota Medan",3.507252,98.693001,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,4,600000,0
aset-0310,4,2,1,1,737,12,"Jl. Ahmad Yani No. 5, Kel. Polonia Kec. Medan Kota, Kota Medan",3.565432,98.650309,1,0.7695,0,3.8724,1,1.9711,1,1.8922,0,3.0864,1,1.9387,0,4.0295,0,4.1952,1,2.6718,5,1,200000,1
aset-0311,1,0,0,1,938,19,"Jl. Sisingamangaraja No. 18, Kel. Sikambing Kec. Medan Helvetia, Kota Medan",3.550266,98.68554,0,3.4897,0,3.6816,1,2.6929,1,2.478,0,3.7329,1,2.367,0,4.5187,0,5.0,2,2.7674,5,2,11600000,1
aset-0312,4,0,1,1,3630,22,"Jl. Cut Mutia No. 15, Kel. Pandan Selamat Kec. Medan Polonia, Kota Medan",3.621648,98.679812,2,1.1586,1,2.0622,2,1.0911,0,3.3323,4,1.3019,0,3.3886,0,3.533,0,3.1204,0,3.2794,9,2,22300000,1
aset-0313,5,2,2,2,1683,8,"Jl. Setiabudi No. 34, Kel. Merdeka Kec. Medan Selayang, Kota Medan",3.599041,98.660768,2,2.156,5,1.416,5,1.2544,1,1.3194,6,1.2113,1,0.6501,1,2.063,1,1.676,5,0.979,27,2,21800000,2
aset-0314,3,0,0,0,846,24,"Blok Ahmad Yani No. 40, Kel. Aur Kec. Medan Baru, Kota Medan",3.615787,98.671706,4,1.3563,4,2.1699,2,1.1383,1,2.5351,4,1.2157,1,2.4283,1,2.927,1,2.4501,2,2.4573,20,2,45100000,1
aset-0315,2,0,1,1,529,6,"Gang Thamrin No. 10, Kel. Sei Sikambing Kec. Medan Maimun, Kota Medan",3.583846,98.668072,4,1.2817,6,1.0323,7,0.7746,2,1.0685,5,0.4544,1,1.2862,1,1.2041,1,1.366,7,0.9937,34,2,280100000,2
aset-0316,5,0,1,1,1410,28,"Jl. Teuku Cik Ditiro No. 30, Kel. Pandan Selamat Kec. Medan Barat, Kota Medan",3.591154,98.645911,0,3.3558,1,2.9025,0,3.0687,1,2.7918,2,2.1319,1,2.1612,0,3.4525,0,3.2437,2,1.0367,7,2,51900000,1
aset-0317,4,0,1,0,3845,7,"Jl. Sisingamangaraja No. 40, Kel. Gaharu Kec. Medan Helvetia, Kota Medan",3.61611,98.657604,1,2.6271,0,3.0258,2,1.8491,1,2.9687,1,2.6837,1,2.4867,0,3.6142,0,3.1259,1,2.7158,7,0,20300000,1
aset-0318,2,0,0,1,360,18,"Jl. Balai Kota No. 50, Kel. Aur Kec. Medan Johor, Kota Medan",3.500931,98.663995,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,2400000,0
aset-0319,1,0,0,1,1496,13,"Blok Marelan Raya No. 1, Kel. Sei Sikambing Kec. Medan Polonia, Kota Medan",3.639611,98.691066,1,1.4015,0,3.8636,1,2.6925,0,5.0,0,3.477,0,5.0,0,5.0,0,5.0,0,5.0,2,0,2600000,1
aset-0320,5,0,0,1,983,12,"Blok Cut Mutia No. 32, Kel. Kesawan Kec. Medan Polonia, Kota Medan",3.548605,98.694518,0,4.4816,0,3.7138,0,3.584,0,3.4911,0,3.8283,0,3.3776,0,4.9967,0,5.0,0,3.1731,0,0,800000,0
aset-0321,6,0,1,1,3196,9,"Jl. Balai Kota No. 10, Kel. Sunggal Kec. Medan Sunggal, Kota Medan",3.550431,98.695434,0,4.5097,0,3.5106,0,3.5587,0,3.5207,0,3.6315,0,3.4339,0,4.8522,0,5.0,0,3.027,0,2,11800000,0
aset-0322,3,2,1,1,727,14,"Jl. Teuku Cik Ditiro No. 4, Kel. Merdeka Kec. Medan Barat, Kota Medan",3.603357,98.635841,0,4.7986,0,4.1748,0,4.0271,0,4.0682,0,3.6083,0,3.3667,0,4.8031,0,4.4685,1,2.6588,1,5,700000,1
aset-0323,1,2,2,1,1009,20,"Jl. Yos Sudarso No. 5, Kel. Sunggal Kec. Medan Helvetia, Kota Medan",3.558214,98.660286,1,0.658,0,3.9506,1,1.299,1,0.5285,0,3.2498,1,0.5782,0,3.9916,0,4.3013,0,3.2239,4,4,600000,1
aset-0324,6,0,2,1,956,8,"Jl. Sudirman No. 15, Kel. Pasar Merah Kec. Medan Helvetia, Kota Medan",3.595046,98.672938,3,0.7941,7,0.2502,6,0.5934,2,0.313,8,0.901,1,0.8809,1,0.7197,1,0.2567,7,0.5602,36,2,509700000,2
aset-0325,6,2,0,1,731,26,"Jl. Setiabudi No. 4, Kel. Padang Bulan Kec. Medan Tembung, Kota Medan",3.577092,98.685071,2,1.6315,6,1.2296,7,0.6749,2,1.0354,5,1.0981,1,2.9878,1,1.6919,1,2.1873,6,0.1236,31,2,34200000,2
aset-0326,4,2,1,0,242,24,"Jl. Katamso No. 45, Kel. Sei Sikambing Kec. Medan Baru, Kota Medan",3.596943,98.718223,0,3.3241,0,3.0665,1,2.9228,0,3.2552,1,2.7557,0,5.0,0,4.6395,0,4.8079,0,4.1692,2,4,100000,0
aset-0327,6,0,0,0,7486,20,"Lingkungan Veteran No. 5, Kel. Sei Sikambing Kec. Medan Tembung, Kota Medan",3.580949,98.679432,3,1.0097,7,0.8783,7,0.1884,2,1.5103,6,0.9398,1,2.2375,1,1.042,1,1.5323,7,0.7307,35,2,987100000,2
aset-0328,6,0,1,0,15428,9,"Jl. Putri Hijau No. 45, Kel. Gaharu Kec. Medan Polonia, Kota Medan",3.605366,98.664204,3,1.6435,6,1.6246,5,1.0324,1,1.5683,5,1.822,1,1.156,1,2.2217,1,1.7415,5,1.3322,28,2,650800000,2
aset-0329,6,0,1,1,12270,24,"Jl. Katamso No. 6, Kel. Gaharu Kec. Medan Baru, Kota Medan",3.520282,98.633778,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,10800000,0
aset-0330,6,0,1,1,419,6,"Jl. Veteran No. 45, Kel. Polonia Kec. Medan Perjuangan, Kota Medan",3.6158,98.678632,4,1.0905,5,1.5884,4,1.4155,1,2.673,4,0.6964,1,2.7637,1,2.8745,1,2.4573,2,2.6246,23,2,25500000,2
aset-0331,5,2,0,0,253,25,"Jl. Sisingamangaraja No. 1, Kel. Gaharu Kec. Medan Perjuangan, Kota Medan",3.599051,98.66509,3,1.7262,6,1.0202,5,0.7793,1,0.9396,6,1.1177,1,0.4506,1,1.6613,1,1.2349,5,0.6479,29,2,8800000,2
aset-0332,1,2,1,1,802,12,"Jl. Teuku Daud No. 6, Kel. Petisah Tengah Kec. Medan Baru, Kota Medan",3.600761,98.692736,3,0.7561,7,0.706,6,0.7009,2,2.0863,7,0.8827,0,3.1439,1,2.1169,1,2.1069,5,1.873,32,2,28200000,2
aset-0333,4,0,0,1,5415,9,"Perumahan Katamso No. 40, Kel. Sunggal Kec. Medan Barat, Kota Medan",3.583902,98.701966,2,1.998,4,0.8015,5,1.6161,1,1.0172,4,1.0,0,4.2839,1,2.8524,0,3.1963,5,2.1408,22,2,165900000,2
aset-0334,3,2,0,0,586,19,"Jl. HM Yamin No. 5, Kel. Sikambing Kec. Medan Area, Kota Medan",3.57917,98.645808,1,2.1728,0,3.2885,1,2.8101,0,3.1908,2,2.394,1,2.7631,0,3.6651,0,3.6352,2,1.4951,7,1,300000,1
aset-0335,4,0,1,1,277,7,"Gang Teuku Daud No. 30, Kel. Pulo Brayan Kec. Medan Marelan, Kota Medan",3.541041,98.605923,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,2,500000,0
aset-0336,5,0,0,2,4285,14,"Blok Jamin Ginting No. 5, Kel. Sei Sikambing Kec. Medan Barat, Kota Medan",3.592615,98.619223,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3.9908,0,5,4700000,1
aset-0337,4,0,1,1,1489,28,"Jl. Teuku Cik Ditiro No. 7, Kel. Padang Bulan Kec. Medan Selayang, Kota Medan",3.549531,98.646546,1,1.881,0,5.0,0,3.0728,1,1.9952,0,4.8431,1,2.1707,0,5.0,0,5.0,0,4.4879,3,0,4600000,1
aset-0338,1,2,0,1,425,24,"Jl. Imam Bonjol No. 45, Kel. Sikambing Kec. Medan Petisah, Kota Medan",3.586926,98.726784,0,4.3784,0,3.5696,0,3.9511,0,3.7891,0,3.7746,0,5.0,0,5.0,0,5.0,0,4.8687,0,1,200000,0
aset-0339,6,0,0,0,1539,25,"Jl. Sutomo No. 2, Kel. Padang Bulan Kec. Medan Baru, Kota Medan",3.598964,98.63244,0,4.827,0,4.44,0,4.3927,0,4.3303,0,3.7794,0,3.6401,0,5.0,0,4.7553,1,2.7378,1,5,9800000,1
aset-0340,4,0,1,1,578,8,"Jl. Jamin Ginting No. 40, Kel. Suka Maju Kec. Medan Timur, Kota Medan",3.602914,98.696898,3,1.2537,7,1.0143,5,1.082,1,2.3654,6,0.5742,0,3.6476,1,2.634,1,2.6245,3,2.3927,27,2,54500000,2
aset-0341,3,0,0,1,601,20,"Jl. Katamso No. 12, Kel. Padang Bulan Kec. Medan Polonia, Kota Medan",3.527404,98.678746,0,4.6475,0,5.0,0,4.5615,0,3.4837,0,5.0,0,3.5268,0,5.0,0,5.0,0,5.0,0,0,1600000,0
aset-0342,4,2,0,1,521,10,"Jl. Veteran No. 5, Kel. Padang Bulan Kec. Medan Barat, Kota Medan",3.529015,98.671333,0,4.1088,0,5.0,0,4.2399,0,3.0004,0,5.0,0,3.0818,0,5.0,0,5.0,0,5.0,0,1,100000,1
aset-0343,1,2,0,0,1610,22,"Jl. Sutomo No. 36, Kel. Merdeka Kec. Medan Deli, Kota Medan",3.591008,98.619121,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3.988,0,1,300000,0
aset-0344,2,0,2,1,3207,17,"Perumahan Sisingamangaraja No. 36, Kel. Pasar Merah Kec. Medan Area, Kota Medan",3.615861,98.598087,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,1300000,0
aset-0345,6,2,2,1,568,16,"Jl. Teuku Cik Ditiro No. 15, Kel. Padang Bulan Kec. Medan Deli, Kota Medan",3.630435,98.656844,1,2.6863,0,4.4669,1,1.6465,0,4.4491,0,3.5141,0,4.0428,0,5.0,0,4.5247,0,4.2363,2,4,400000,1
aset-0346,5,2,0,2,716,10,"Jl. Yos Sudarso No. 32, Kel. Pasar Merah Kec. Medan Tembung, Kota Medan",3.621822,98.673861,2,1.3815,1,2.4414,2,0.5627,0,3.2205,4,1.5348,0,3.1404,0,3.5555,0,3.0962,0,3.1613,9,2,4800000,1
aset-0347,5,2,1,1,724,21,"Jl. Imam Bonjol No. 20, Kel. Pusat Pasar Kec. Medan Johor, Kota Medan",3.603326,98.663975,3,1.6938,6,1.4531,5,0.9521,1,1.3879,6,1.597,1,0.9328,1,2.0701,1,1.6039,5,1.1291,29,2,27300000,2
aset-0348,2,2,1,0,1857,6,"Jl. Sudirman No. 22, Kel. Titi Kuning Kec. Medan Baru, Kota Medan",3.585614,98.681967,3,0.6564,7,0.289,7,0.3845,2,1.2887,8,0.4286,1,2.1529,1,0.736,1,1.2113,6,0.1542,36,2,831700000,2
aset-0349,6,0,2,1,1368,17,"Jl. Katamso No. 18, Kel. Pasar Merah Kec. Medan Area, Kota Medan",3.596463,98.64759,0,3.442,2,2.7362,1,2.7423,1,2.6263,2,2.1028,1,1.9389,0,3.342,0,3.0542,2,1.1683,9,2,14600000,1
aset-0350,4,2,0,1,481,21,"Jl. Balai Kota No. 1, Kel. Aur Kec. Medan Barat, Kota Medan",3.597936,98.69787,3,1.0933,7,1.3479,5,0.7552,1,1.8526,6,1.1382,0,3.6623,1,2.4785,1,2.5755,5,2.1402,29,2,60500000,2
aset-0351,6,2,1,2,548,15,"Gang Setiabudi No. 12, Kel. Pandan Selamat Kec. Medan Maimun, Kota Medan",3.625075,98.659292,1,2.5291,0,3.8352,1,1.3033,0,3.7958,1,2.9348,0,3.4036,0,4.3672,0,3.8702,0,3.5879,3,1,300000,1
aset-0352,4,0,2,1,1249,25,"Jl. Cut Mutia No. 36, Kel. Padang Bulan Kec. Medan Labuhan, Kota Medan",3.630753,98.593574,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,2200000,0
aset-0353,3,0,0,0,183,10,"Gang Setiabudi No. 24, Kel. Pusat Pasar Kec. Medan Labuhan, Kota Medan",3.634154,98.702453,1,2.3927,0,3.6168,0,3.6063,0,5.0,1,2.995,0,5.0,0,5.0,0,5.0,0,5.0,2,2,500000,0
aset-0354,2,2,1,1,499,16,"Blok Teuku Cik Ditiro No. 15, Kel. Sei Sikambing Kec. Medan Kota, Kota Medan",3.50797,98.675555,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,1,100000,0
aset-0355,4,0,0,2,926,22,"Jl. Yos Sudarso No. 25, Kel. Merdeka Kec. Medan Maimun, Kota Medan",3.620671,98.711715,0,3.6338,0,3.1563,0,3.6407,0,4.7753,1,2.2419,0,5.0,0,5.0,0,5.0,0,4.8842,1,3,500000,0
aset-0356,1,0,0,0,574,28,"Jl. Ahmad Yani No. 36, Kel. Sei Sikambing Kec. Medan Maimun, Kota Medan",3.543475,98.679054,0,3.2884,0,4.635,1,2.8893,1,2.1255,0,4.6596,1,2.0911,0,5.0,0,5.0,0,3.5575,3,5,1000000,1
aset-0357,6,0,0,0,926,8,"Jl. Cut Mutia No. 7, Kel. Petisah Tengah Kec. Medan Labuhan, Kota Medan",3.533619,98.629764,0,4.4358,0,5.0,0,5.0,0,4.448,0,5.0,0,4.6353,0,5.0,0,5.0,0,5.0,0,0,5300000,0
aset-0358,1,0,2,0,2635,12,"Jl. Imam Bonjol No. 15, Kel. Pulo Brayan Kec. Medan Labuhan, Kota Medan",3.57416,98.674344,3,1.7941,6,1.8141,7,0.9857,3,2.1275,5,1.2331,2,2.27,1,1.7858,1,2.2073,7,1.0656,35,2,1364000000,2
aset-0359,5,0,0,1,4265,28,"Perumahan Yos Sudarso No. 24, Kel. Pandan Selamat Kec. Medan Denai, Kota Medan",3.618115,98.680518,3,1.3576,3,1.6781,3,1.3728,1,2.9857,4,0.9039,0,3.0938,0,3.1505,1,2.7505,1,2.893,16,2,9900000,1
aset-0360,6,0,2,0,1254,12,"Jl. Imam Bonjol No. 22, Kel. Pasar Merah Kec. Medan Marelan, Kota Medan",3.591752,98.681485,3,0.448,7,0.375,6,0.412,2,1.1719,8,0.4754,1,1.8648,1,0.5345,1,0.7619,7,0.368,36,2,328000000,2
aset-0361,4,0,0,1,2255,20,"Jl. Veteran No. 45, Kel. Padang Bulan Kec. Medan Area, Kota Medan",3.552876,98.720673,0,5.0,0,4.3134,0,5.0,0,4.4631,0,4.5444,0,5.0,0,5.0,0,5.0,0,4.771,0,5,1100000,1
aset-0362,4,2,1,1,979,9,"Jl. Imam Bonjol No. 3, Kel. Suka Maju Kec. Medan Johor, Kota Medan",3.545451,98.698282,0,5.0,0,4.0804,0,4.1275,0,3.9792,0,4.2162,0,3.8754,0,5.0,0,5.0,0,3.6629,0,1,1000000,0
aset-0363,4,2,0,1,1309,28,"Jl. Putri Hijau No. 34, Kel. Jati Kec. Medan Tembung, Kota Medan",3.593602,98.673386,3,0.6484,7,0.1678,6,0.7605,2,0.2731,8,0.886,1,0.9435,1,0.5668,1,0.1845,7,0.5565,36,2,204400000,2
aset-0364,4,0,0,1,1780,10,"Blok Sudirman No. 34, Kel. Polonia Kec. Medan Selayang, Kota Medan",3.533355,98.615272,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5,2500000,0
aset-0365,1,2,1,1,884,15,"Jl. Iskandar Muda No. 42, Kel. Bantan Kec. Medan Maimun, Kota Medan",3.609225,98.637322,0,4.639,0,4.2502,0,3.9742,0,4.15,0,3.8068,0,3.4548,0,4.8947,0,4.511,1,2.9843,1,1,200000,1
aset-0366,4,0,0,0,416,15,"Jl. Marelan Raya No. 28, Kel. Pandan Selamat Kec. Medan Marelan, Kota Medan",3.600718,98.69428,3,0.8742,7,0.844,6,0.7363,2,2.0862,6,0.8319,0,3.311,1,2.2578,1,2.2662,4,2.0203,30,2,81100000,2
aset-0367,4,2,1,0,436,24,"Komplek Imam Bonjol No. 5, Kel. Padang Bulan Kec. Medan Petisah, Kota Medan",3.625254,98.709058,0,3.2027,0,3.2455,0,3.9087,0,5.0,1,2.4043,0,5.0,0,5.0,0,5.0,0,5.0,1,1,400000,0
aset-0368,1,0,0,2,1558,13,"Jl. Teuku Daud No. 14, Kel. Sei Sikambing Kec. Medan Marelan, Kota Medan",3.594796,98.670778,3,0.9597,6,0.2414,6,0.6269,2,0.2012,7,0.9091,1,0.6416,1,0.8725,1,0.4768,7,0.3207,34,2,455100000,2
aset-0369,6,0,2,1,4191,28,"Lorong Yos Sudarso No. 4, Kel. Suka Maju Kec. Medan Johor, Kota Medan",3.577325,98.663813,2,1.7728,5,1.8948,6,1.2385,2,1.9168,4,1.2465,2,1.9698,1,2.0318,1,2.2315,7,1.6254,30,2,220800000,2
aset-0370,6,0,0,1,1238,21,"Jl. Jamin Ginting No. 12, Kel. Jati Kec. Medan Timur, Kota Medan",3.568504,98.682525,2,2.4338,6,2.0418,5,1.466,2,1.8983,4,1.9873,1,2.3908,1,2.4676,1,2.9554,5,0.7491,27,2,162400000,2
aset-0371,1,2,1,1,1048,24,"Jl. Ahmad Yani No. 45, Kel. Bantan Kec. Medan Marelan, Kota Medan",3.553306,98.708932,0,5.0,0,3.5455,0,4.4167,0,3.6478,0,3.7454,0,4.8848,0,5.0,0,5.0,0,3.6865,0,1,400000,0
aset-0372,4,0,0,1,3232,6,"Jl. Thamrin No. 20, Kel. Merdeka Kec. Medan Barat, Kota Medan",3.536366,98.649196,0,3.0794,0,5.0,0,3.9948,1,2.615,0,5.0,1,2.8005,0,5.0,0,5.0,0,5.0,2,0,2600000,1
